relation_id,respondent_id,transcript_file,segment_id,segment_text,source_construct,relation_type,target_construct,intensity,certainty,memo
1,18,18.txt,0,"odejdzie czynnik ludzki czyli kierowca",autonomous_operation,reduces,labor_costs,0.96,0.98,"Autonomizacja eliminuje koszty zatrudnienia kierowców"
2,18,18.txt,0,"możliwość dłuższej trasy",continuous_transport,amplifies,cargo_transport,0.92,0.94,"Brak ograniczeń czasu pracy zwiększa możliwości transportowe"
3,18,18.txt,0,"spadnie liczba wypadków",autonomous_operation,reduces,accident_reduction,0.93,0.95,"Eliminacja błędów ludzkich może ograniczyć liczbę wypadków"
4,18,18.txt,0,"transport szybszy",continuous_transport,amplifies,operational_efficiency,0.91,0.93,"Ciągłość jazdy zwiększa efektywność transportu"
5,18,18.txt,0,"bezpieczny transport",accident_reduction,amplifies,health_protection,0.9,0.92,"Mniejsza liczba wypadków poprawia bezpieczeństwo uczestników ruchu"
6,18,18.txt,0,"mają być bardziej wydajne",technological_maturity,amplifies,energy_reduction,0.78,0.8,"Respondent oczekuje większej efektywności energetycznej CAV"
7,18,18.txt,0,"transport ekologiczny",environmental_sustainability,amplifies,social_image,0.83,0.85,"Ekologiczny transport może poprawiać wizerunek firmy"
8,18,18.txt,0,"zwiększenie liczby bezrobotnych",autonomous_operation,conflicts_with,social_acceptance,0.92,0.94,"Automatyzacja może powodować opór społeczny przez utratę miejsc pracy"
9,18,18.txt,0,"mniejsza szkodowość",accident_reduction,reduces,implementation_cost,0.86,0.88,"Mniejsza liczba szkód może ograniczać koszty działalności"
10,18,18.txt,0,"kradzież towaru ... w czasie przerw",continuous_transport,reduces,deployment_risk,0.84,0.86,"Mniejsza liczba postojów ogranicza ryzyko kradzieży"
11,18,18.txt,0,"mógł jechać nawet 16 godzin",continuous_transport,amplifies,traffic_efficiency,0.89,0.91,"Dłuższy czas jazdy poprawia płynność i efektywność transportu"
12,18,18.txt,0,"mniej wypadków spowodowanych błędem ludzkim",autonomous_operation,reduces,accident_reduction,0.94,0.96,"Ograniczenie błędów kierowców zmniejsza ryzyko wypadków"
13,18,18.txt,0,"komputer będzie wybierał najlepszą trasę",traffic_efficiency,amplifies,mobility_improvement,0.88,0.9,"Optymalizacja tras poprawia mobilność i przepustowość"
14,18,18.txt,0,"będzie można ... odpocząć",autonomous_operation,amplifies,free_time,0.86,0.88,"Autonomizacja zwiększa ilość czasu wolnego użytkowników"
15,18,18.txt,0,"nasza infrastruktura drogowa nie jest przygotowana",infrastructure_readiness,conflicts_with,autonomous_operation,0.95,0.97,"Niedostosowana infrastruktura ogranicza wdrażanie CAV"
16,18,18.txt,0,"samochody będą o wiele droższe",implementation_cost,conflicts_with,business_acceptance,0.93,0.95,"Wysokie koszty zakupu ograniczają adopcję CAV"
17,18,18.txt,0,"wzrost ilości bezrobotnych",autonomous_operation,conflicts_with,workforce_efficiency,0.9,0.92,"Automatyzacja może ograniczać zatrudnienie kierowców zawodowych"
18,18,18.txt,0,"wierzących w różnego rodzaju spiski",technological_trust,conflicts_with,social_acceptance,0.87,0.89,"Nieufność społeczna ogranicza akceptację nowych technologii"
19,18,18.txt,0,"sieć zanika",technology_standardization,conflicts_with,autonomous_operation,0.9,0.92,"Problemy z łącznością ograniczają działanie CAV"
20,18,18.txt,0,"samochody elektryczne",energy_source,depends_on,supporting_infrastructure,0.84,0.86,"CAV wymagają infrastruktury energetycznej i ładowania"
21,18,18.txt,0,"włamanie się do GPS",data_management,conflicts_with,technological_trust,0.91,0.93,"Ryzyko cyberataków ogranicza zaufanie do technologii"
22,18,18.txt,0,"środki wspierające badania",research_support,enables,technological_maturity,0.82,0.84,"Wsparcie badań i rozwoju wspiera rozwój technologii autonomicznych"
23,18,18.txt,0,"błędu po stronie producentów",regulatory_procedures,depends_on,data_management,0.86,0.88,"Bezpieczeństwo CAV zależy od jakości oprogramowania i nadzoru"
24,18,18.txt,0,"brak punktów ładowania",supporting_infrastructure,conflicts_with,autonomous_operation,0.93,0.95,"Brak infrastruktury ładowania ogranicza wdrażanie CAV"
25,18,18.txt,0,"utylizacja",environmental_impact,conflicts_with,environmental_sustainability,0.78,0.8,"Problemy utylizacji akumulatorów mogą ograniczać korzyści ekologiczne"
26,18,18.txt,0,"koszty wprowadzenia ... będą duże",investment_requirements,conflicts_with,business_acceptance,0.92,0.94,"Wysokie koszty infrastrukturalne ograniczają wdrażanie CAV"
27,18,18.txt,0,"bezpieczeństwa cybernetycznego ... problem",data_management,conflicts_with,business_acceptance,0.88,0.9,"Ryzyka cyberbezpieczeństwa ograniczają akceptację CAV"
28,18,18.txt,0,"bunt grupy zawodowej",social_acceptance,conflicts_with,autonomous_operation,0.89,0.91,"Sprzeciw kierowców zawodowych może utrudniać wdrażanie CAV"
29,18,18.txt,0,"punkty ładowania samochodów elektrycznych",supporting_infrastructure,enables,energy_source,0.9,0.92,"Rozwój infrastruktury ładowania wspiera elektromobilność CAV"
30,18,18.txt,0,"punkty kontroli takich samochodów",supporting_infrastructure,stabilizes,autonomous_operation,0.83,0.85,"System kontroli infrastrukturalnej wspiera bezpieczeństwo CAV"
31,18,18.txt,0,"wydzielonych obszarów testowych",highway_test_zones,enables,technological_maturity,0.85,0.87,"Strefy testowe wspierają rozwój i walidację technologii"
32,18,18.txt,0,"niechęć ludzi do tych testów",social_acceptance,conflicts_with,urban_test_zones,0.84,0.86,"Społeczny opór może utrudniać testowanie CAV w miastach"
33,18,18.txt,0,"nie jesteśmy do tego jeszcze przygotowani",signal_visibility,conflicts_with,autonomous_operation,0.89,0.91,"Brak standaryzacji oznakowania utrudnia funkcjonowanie CAV"
34,18,18.txt,0,"technologii 5G",technology_standardization,enables,autonomous_operation,0.87,0.89,"Rozwój łączności 5G wspiera wdrażanie pojazdów autonomicznych"
35,18,18.txt,0,"szybkość i jakość transportu",operational_efficiency,amplifies,cargo_transport,0.9,0.92,"CAV mogą poprawić szybkość i jakość usług transportowych"
36,18,18.txt,0,"transport powinien być też tańszy",labor_costs,reduces,implementation_cost,0.88,0.9,"Brak kosztów kierowców może obniżyć koszty operacyjne"
37,18,18.txt,0,"pokazywane korzyści dla firm",business_acceptance,depends_on,social_image,0.8,0.82,"Promowanie korzyści biznesowych może zwiększyć adopcję CAV"
38,18,18.txt,0,"poprawę infrastruktury",infrastructure_optimization,enables,autonomous_operation,0.92,0.94,"Rozbudowa infrastruktury jest kluczowa dla wdrożenia CAV"
39,18,18.txt,0,"dostępności w sieci",technology_standardization,stabilizes,autonomous_operation,0.86,0.88,"Stabilny dostęp do sieci wspiera funkcjonowanie CAV"
40,18,18.txt,0,"zabezpieczenia danych sieci",data_management,stabilizes,technological_trust,0.89,0.91,"Cyberbezpieczeństwo zwiększa zaufanie do pojazdów autonomicznych"
