relation_id,respondent_id,transcript_file,segment_id,segment_text,source_construct,relation_type,target_construct,intensity,certainty,memo
1,16,16.txt,0,"bardzo zmienne warunki atmosferyczne i drogowe",deployment_risk,conflicts_with,autonomous_operation,0.95,0.97,"Trudne warunki terenowe ograniczają możliwość wdrożenia CAV"
2,16,16.txt,0,"mogłoby być dużo wypadków",autonomous_operation,conflicts_with,accident_reduction,0.92,0.94,"Respondent uważa, że CAV mogą zwiększać ryzyko wypadków"
3,16,16.txt,0,"obawiałbym się takiego auta",technological_trust,conflicts_with,social_acceptance,0.94,0.96,"Brak zaufania ogranicza akceptację pojazdów autonomicznych"
4,16,16.txt,0,"mogłoby to mieć odwrotne skutki",autonomous_operation,conflicts_with,health_protection,0.91,0.93,"Respondent nie wierzy, że CAV poprawią bezpieczeństwo"
5,16,16.txt,0,"warunki zewnętrzne atmosferyczne",deployment_risk,conflicts_with,health_protection,0.9,0.92,"Ekstremalne warunki pogodowe zwiększają ryzyko użytkowania CAV"
6,16,16.txt,0,"mogłoby to być korzyścią",autonomous_operation,amplifies,mobility_improvement,0.74,0.76,"Autonomiczne pojazdy mogłyby usprawnić transport pracowników"
7,16,16.txt,0,"infrastruktura drogowa jest jednym z większych problemów",infrastructure_readiness,conflicts_with,autonomous_operation,0.95,0.97,"Niewystarczająca infrastruktura ogranicza rozwój CAV"
8,16,16.txt,0,"auta autonomiczne muszą mieć jakieś punkty odniesienia",signal_visibility,depends_on,autonomous_operation,0.91,0.93,"CAV wymagają wyraźnych punktów odniesienia i oznakowania"
9,16,16.txt,0,"nie ma Pani żadnego wpływu na kierowcę",technological_trust,conflicts_with,health_protection,0.89,0.91,"Brak kontroli nad pojazdem obniża poczucie bezpieczeństwa"
10,16,16.txt,0,"auta sobie nie radzą w ruchu rzeczywistym",technological_maturity,conflicts_with,autonomous_operation,0.94,0.96,"Niedojrzałość technologii ogranicza wdrażanie CAV"
11,16,16.txt,0,"bardzo duże koszty",implementation_cost,conflicts_with,business_acceptance,0.93,0.95,"Wysokie koszty wdrożenia ograniczają akceptację CAV"
12,16,16.txt,0,"auta też muszą się między sobą komunikować",technology_standardization,depends_on,autonomous_operation,0.88,0.9,"Komunikacja między pojazdami jest warunkiem działania CAV"
13,16,16.txt,0,"trzeba skądś tą energię wziąć",energy_source,conflicts_with,autonomous_operation,0.87,0.89,"Rosnące zapotrzebowanie energetyczne stanowi barierę wdrożenia"
14,16,16.txt,0,"kto je będzie ładował",supporting_infrastructure,depends_on,energy_source,0.86,0.88,"CAV wymagają rozwiniętej infrastruktury ładowania"
15,16,16.txt,0,"to będzie duży problem",regulatory_procedures,conflicts_with,business_acceptance,0.89,0.91,"Niejasna odpowiedzialność prawna utrudnia wdrażanie CAV"
16,16,16.txt,0,"cała infrastruktura ... energetyczna",supporting_infrastructure,depends_on,autonomous_operation,0.93,0.95,"Rozwój infrastruktury energetycznej jest konieczny dla CAV"
17,16,16.txt,0,"sygnał z GPS'ów jest zakłócany",technology_standardization,conflicts_with,autonomous_operation,0.9,0.92,"Zakłócenia sygnału ograniczają niezawodność pojazdów autonomicznych"
18,16,16.txt,0,"nie mamy zasięgu GPS",technology_standardization,conflicts_with,autonomous_operation,0.91,0.93,"Braki w łączności uniemożliwiają działanie CAV"
19,16,16.txt,0,"kto za to ma zapłacić",investment_requirements,conflicts_with,business_acceptance,0.92,0.94,"Koszty inwestycyjne ograniczają gotowość wdrożeniową"
20,16,16.txt,0,"problemy z dodatkowymi pasami ruchu",infrastructure_optimization,conflicts_with,highway_test_zones,0.9,0.92,"Brak przestrzeni drogowej utrudnia tworzenie pasów dla CAV"
21,16,16.txt,0,"kto będzie chciał ubezpieczyć",deployment_risk,conflicts_with,business_acceptance,0.85,0.87,"Niejasność odpowiedzialności utrudnia rozwój rynku ubezpieczeń CAV"
22,16,16.txt,0,"jest to istotny koszt",training_requirements,amplifies,implementation_cost,0.81,0.83,"Szkolenia operatorów zwiększają koszty wdrożenia"
23,16,16.txt,0,"wszystko są koszty",implementation_cost,amplifies,investment_requirements,0.88,0.9,"Tworzenie standardów i procedur generuje dodatkowe koszty"
24,16,16.txt,0,"nie mamy odpowiedniej infrastruktury",infrastructure_readiness,conflicts_with,technological_maturity,0.94,0.96,"Braki infrastrukturalne ograniczają rozwój technologii autonomicznych"
25,16,16.txt,0,"gdzieś trzeba te testy przeprowadzać",highway_test_zones,enables,technological_maturity,0.82,0.84,"Strefy testowe są potrzebne do rozwoju CAV"
26,16,16.txt,0,"miasta są zakorkowane",urban_density,conflicts_with,traffic_efficiency,0.87,0.89,"Wysoka kongestia ogranicza wdrażanie CAV w miastach"
27,16,16.txt,0,"auta już są w stanie odczytywać znaki drogowe",signal_visibility,stabilizes,autonomous_operation,0.79,0.81,"Rozpoznawanie znaków wspiera funkcjonowanie CAV"
28,16,16.txt,0,"musi być jakaś standaryzacja",technology_standardization,stabilizes,autonomous_operation,0.92,0.94,"Standaryzacja systemów komunikacyjnych jest konieczna dla CAV"
