relation_id,respondent_id,transcript_file,segment_id,segment_text,source_construct,relation_type,target_construct,intensity,certainty,memo
1,20,20.txt,0,"poradzić sobie dosyć skutecznie z obecnymi problemami kadrowymi",autonomous_operation,reduces,labor_costs,0.95,0.97,"Autonomizacja ogranicza problem braków kierowców"
2,20,20.txt,0,"zoptymalizowania kosztów tych transportów",operational_efficiency,reduces,implementation_cost,0.92,0.94,"CAV mogą obniżać koszty operacyjne transportu"
3,20,20.txt,0,"mniejsza presja na wzrost ceny towarów",operational_efficiency,stabilizes,economic_stability,0.84,0.86,"Niższe koszty transportu mogą stabilizować ceny"
4,20,20.txt,0,"transport odbywał się 24 godziny na dobę",continuous_transport,amplifies,cargo_transport,0.94,0.96,"Autonomizacja umożliwia ciągły transport"
5,20,20.txt,0,"jeździły właśnie w okresach zmniejszonego ruchu",traffic_efficiency,amplifies,operational_efficiency,0.89,0.91,"Transport nocny może poprawić efektywność logistyczną"
6,20,20.txt,0,"wpływa pozytywnie na zużycie energii",autonomous_operation,reduces,fuel_consumption,0.87,0.89,"Systemy autonomiczne mogą ograniczać zużycie paliwa"
7,20,20.txt,0,"bardziej zoptymalizować systemy napędzające",technological_maturity,amplifies,energy_reduction,0.86,0.88,"Rozwój technologii poprawia efektywność energetyczną"
8,20,20.txt,0,"powinno być docelowo pozytywny wpływ",environmental_sustainability,reduces,environmental_impact,0.83,0.85,"CAV mogą ograniczać wpływ transportu na środowisko"
9,20,20.txt,0,"wizerunek firmy nowoczesnej",social_image,amplifies,business_acceptance,0.88,0.9,"Nowoczesny wizerunek wspiera akceptację technologii"
10,20,20.txt,0,"kierowców, które mogą czuć się zagrożeni",autonomous_operation,conflicts_with,social_acceptance,0.89,0.91,"Obawy kierowców przed utratą pracy mogą ograniczać akceptację CAV"
11,20,20.txt,0,"zamienić na transport nocny",traffic_efficiency,amplifies,mobility_improvement,0.85,0.87,"Przeniesienie transportu na noc może zmniejszyć kongestię"
