relation_id,respondent_id,transcript_file,segment_id,segment_text,source_construct,relation_type,target_construct,intensity,certainty,memo
1,25,25.txt,0,"optymalizacja kosztów funkcjonowania przedsiębiorstw",operational_efficiency,reduces,implementation_cost,0.84,0.86,"Respondent dostrzega potencjał redukcji kosztów operacyjnych"
2,25,25.txt,0,"dostawy z punktu A do punktu B",autonomous_operation,enables,cargo_transport,0.83,0.85,"CAV najlepiej sprawdzają się w prostych trasach liniowych"
3,25,25.txt,0,"dostawy multidrop to raczej ludzka ręka jest potrzebna",urban_density,conflicts_with,autonomous_operation,0.9,0.92,"Złożone dostawy wielopunktowe utrudniają pełną autonomizację"
4,25,25.txt,0,"większość firm przechodzi na używanie gazu",energy_source,reduces,fuel_consumption,0.81,0.83,"Alternatywne źródła energii ograniczają koszty paliwa"
5,25,25.txt,0,"wszyscy patrzymy na ochronę środowiska",environmental_sustainability,reduces,environmental_impact,0.88,0.9,"Ekologiczne aspekty transportu są coraz bardziej istotne społecznie"
6,25,25.txt,0,"jest tutaj jeszcze dużo do poprawy",infrastructure_readiness,conflicts_with,autonomous_operation,0.92,0.94,"Niedostateczna infrastruktura ogranicza wdrażanie CAV"
7,25,25.txt,0,"koszt wykorzystania i serwisowania takich aut",implementation_cost,conflicts_with,business_acceptance,0.83,0.85,"Niepewność kosztów eksploatacji ogranicza akceptację CAV"
8,25,25.txt,0,"część aut posiada wspomaganie parkowania",autonomous_operation,amplifies,parking_efficiency,0.79,0.81,"Systemy wspomagania mogą poprawiać efektywność parkowania"
9,25,25.txt,0,"instynkt ludzki pozostaje",autonomous_operation,conflicts_with,technological_trust,0.84,0.86,"Respondent uważa intuicję człowieka za nadal istotną"
10,25,25.txt,0,"więcej autostrad i dróg ekspresowych",infrastructure_optimization,enables,traffic_efficiency,0.9,0.92,"Rozbudowa infrastruktury może poprawić płynność ruchu"
11,25,25.txt,0,"elektryczne jak najbardziej tak",environmental_sustainability,amplifies,social_acceptance,0.8,0.82,"Napędy elektryczne zwiększają akceptację proekologiczną"
12,25,25.txt,0,"przy jego produkcji potrzebny jest diesel",environmental_impact,conflicts_with,environmental_sustainability,0.82,0.84,"Produkcja pojazdów elektrycznych nadal generuje emisje"
13,25,25.txt,0,"infrastruktura i przyzwyczajenie naszego społeczeństwa",infrastructure_readiness,conflicts_with,social_acceptance,0.9,0.92,"Braki infrastrukturalne i społeczne ograniczają rozwój CAV"
14,25,25.txt,0,"ludzie nie ufają nowinkom technologicznym",technological_trust,conflicts_with,social_acceptance,0.92,0.94,"Brak zaufania ogranicza akceptację technologii autonomicznych"
15,25,25.txt,0,"inne kraje nas wyprzedzają",technological_maturity,conflicts_with,business_acceptance,0.83,0.85,"Respondent uważa Polskę za opóźnioną technologicznie"
16,25,25.txt,0,"koszt wdrożenia rozwiązań",implementation_cost,conflicts_with,autonomous_operation,0.9,0.92,"Wysokie koszty wdrożenia utrudniają rozwój CAV"
17,25,25.txt,0,"samochodów nie ma, wszystko jest wysyłane z opóźnieniem",deployment_risk,conflicts_with,technological_maturity,0.81,0.83,"Problemy dostaw ograniczają rozwój rynku pojazdów autonomicznych"
18,25,25.txt,0,"dodatkowe pasy, za dużo dróg krajowych",highway_test_zones,depends_on,infrastructure_optimization,0.91,0.93,"Rozwój CAV wymaga rozbudowy infrastruktury drogowej"
19,25,25.txt,0,"dokształcanie i informowanie społeczeństwa",research_support,amplifies,social_acceptance,0.87,0.89,"Edukacja społeczna może zwiększać akceptację CAV"
20,25,25.txt,0,"młodsze pokolenie woli wszystko to co elektryczne",social_acceptance,amplifies,business_acceptance,0.79,0.81,"Młodsze pokolenia są bardziej otwarte na nowe technologie"
21,25,25.txt,0,"koszty utrzymania to druga sprawa",implementation_cost,conflicts_with,economic_stability,0.82,0.84,"Koszty eksploatacji mogą obciążać przedsiębiorstwa"
22,25,25.txt,0,"mogłyby powstać jakieś dotacje",research_support,reduces,investment_requirements,0.9,0.92,"Dotacje publiczne mogą ograniczyć bariery inwestycyjne"
23,25,25.txt,0,"powstały specjalne pasy",highway_test_zones,enables,autonomous_operation,0.88,0.9,"Dedykowane pasy wspierają wdrażanie CAV"
24,25,25.txt,0,"więcej osób by korzystało z tych aut",highway_test_zones,amplifies,social_acceptance,0.82,0.84,"Lepsza infrastruktura może zwiększyć akceptację społeczną"
25,25,25.txt,0,"promowanie, reklama, informowanie ludzi",social_acceptance,amplifies,business_acceptance,0.85,0.87,"Kampanie informacyjne mogą zwiększać zainteresowanie CAV"
26,25,25.txt,0,"wydzielonych obszarów testowych",highway_test_zones,enables,technological_maturity,0.89,0.91,"Strefy testowe wspierają rozwój technologii autonomicznych"
27,25,25.txt,0,"nie widzę przeszkód dla testowania tego w miastach",urban_test_zones,stabilizes,technological_maturity,0.76,0.78,"Respondent popiera testowanie CAV w miastach"
28,25,25.txt,0,"udoskonalić znaki i infrastrukturę",signal_visibility,depends_on,infrastructure_optimization,0.88,0.9,"Standaryzacja oznakowania wymaga modernizacji infrastruktury"
29,25,25.txt,0,"optymalizacja infrastruktury lokalnej",infrastructure_optimization,enables,autonomous_operation,0.87,0.89,"Modernizacja skrzyżowań i ulic wspiera wdrażanie CAV"
