relation_id,respondent_id,transcript_file,segment_id,segment_text,source_construct,relation_type,target_construct,intensity,certainty,memo
1,17,17.txt,0,"wysoką ceną pojazdów",implementation_cost,conflicts_with,business_acceptance,0.95,0.97,"Wysokie koszty zakupu ograniczają akceptację CAV"
2,17,17.txt,0,"wysoką ceną serwisu",implementation_cost,conflicts_with,operational_efficiency,0.88,0.9,"Koszty serwisowania ograniczają opłacalność wdrożenia"
3,17,17.txt,0,"czas ładowania ... tak samo długi jak czas pauzy",energy_source,conflicts_with,continuous_transport,0.89,0.91,"Długi czas ładowania ogranicza ciągłość transportu"
4,17,17.txt,0,"nie ma tej emisji spalin",energy_source,reduces,environmental_impact,0.84,0.86,"Napęd elektryczny może ograniczać emisję spalin"
5,17,17.txt,0,"ktoś po prostu w tym pojeździe i tak musi jechać",autonomous_operation,conflicts_with,labor_costs,0.9,0.92,"CAV nadal wymagają obecności pracownika w operacjach logistycznych"
6,17,17.txt,0,"koszty serwisu zdecydowanie ... będą wyższe",implementation_cost,amplifies,investment_requirements,0.91,0.93,"Wysokie koszty utrzymania zwiększają bariery inwestycyjne"
7,17,17.txt,0,"zmniejszenie negatywnego wpływu ... ma znaczenie",environmental_sustainability,amplifies,social_acceptance,0.78,0.8,"Korzyści ekologiczne mogą zwiększać akceptację technologii"
8,17,17.txt,0,"brak zaufania ... do maszyn",technological_trust,conflicts_with,social_acceptance,0.94,0.96,"Brak zaufania ogranicza akceptację pojazdów autonomicznych"
9,17,17.txt,0,"ostrożność wobec niesprawdzonych technologii",technological_trust,conflicts_with,business_acceptance,0.89,0.91,"Nieufność wobec nowych technologii ogranicza wdrażanie CAV"
10,17,17.txt,0,"niedojrzałość technologii",technological_maturity,conflicts_with,autonomous_operation,0.92,0.94,"Niedojrzałość technologii utrudnia wdrażanie CAV"
11,17,17.txt,0,"bardzo, bardzo wysoki",implementation_cost,conflicts_with,business_acceptance,0.93,0.95,"Wysokie koszty wdrożenia ograniczają adopcję CAV"
12,17,17.txt,0,"środki wspierające badania i rozwój",research_support,enables,technological_maturity,0.81,0.83,"Wsparcie badań i rozwoju wspiera dojrzewanie technologii"
13,17,17.txt,0,"nie miałbym do firmy zewnętrznej zaufania",data_management,conflicts_with,technological_trust,0.88,0.9,"Zależność od zewnętrznego oprogramowania obniża zaufanie"
14,17,17.txt,0,"najwyższy koszt to jest zakup takiego pojazdu",investment_requirements,conflicts_with,business_acceptance,0.94,0.96,"Koszt zakupu pojazdów autonomicznych ogranicza wdrażanie"
15,17,17.txt,0,"pozyskania dodatkowych środków",investment_requirements,depends_on,autonomous_operation,0.87,0.89,"Wdrożenie CAV wymaga dodatkowego finansowania"
16,17,17.txt,0,"tych pasów ruchu brakuje",infrastructure_readiness,conflicts_with,highway_test_zones,0.9,0.92,"Brak infrastruktury drogowej utrudnia wdrażanie CAV"
17,17,17.txt,0,"firmy ubezpieczeniowe jeszcze nie mają",regulatory_procedures,conflicts_with,business_acceptance,0.82,0.84,"Brak regulacji ubezpieczeniowych ogranicza rozwój rynku CAV"
18,17,17.txt,0,"szkolenia ... będzie to duży koszt",training_requirements,amplifies,implementation_cost,0.91,0.93,"Szkolenia operatorów zwiększają koszty wdrożenia"
19,17,17.txt,0,"rozbudowa pasów",infrastructure_optimization,enables,autonomous_operation,0.89,0.91,"Rozbudowa infrastruktury drogowej wspiera wdrażanie CAV"
20,17,17.txt,0,"rozbudowa stacji ładujących",supporting_infrastructure,enables,energy_source,0.9,0.92,"Rozwój infrastruktury ładowania wspiera funkcjonowanie CAV"
21,17,17.txt,0,"wydzielonych obszarów testowych",highway_test_zones,enables,technological_maturity,0.86,0.88,"Strefy testowe wspierają rozwój technologii autonomicznych"
22,17,17.txt,0,"miasta zatłoczone",urban_density,conflicts_with,traffic_efficiency,0.87,0.89,"Wysoka kongestia utrudnia wdrażanie CAV w miastach"
23,17,17.txt,0,"śnieżyc i jakiś dziwnych anomalii pogodowych",deployment_risk,conflicts_with,technological_maturity,0.9,0.92,"Ekstremalne warunki pogodowe ograniczają skuteczność CAV"
24,17,17.txt,0,"jeżeli coś gdzieś padnie w sieci",technology_standardization,conflicts_with,autonomous_operation,0.88,0.9,"Awaria sieci telekomunikacyjnej może uniemożliwić działanie CAV"
25,17,17.txt,0,"optymalizacja infrastruktury lokalnej",infrastructure_optimization,stabilizes,traffic_efficiency,0.83,0.85,"Modernizacja infrastruktury wspiera płynność ruchu CAV"
26,17,17.txt,0,"potrzebni są ludzie do pracy",workforce_efficiency,depends_on,infrastructure_optimization,0.8,0.82,"Rozwój infrastruktury wymaga dostępnych zasobów kadrowych"
27,17,17.txt,0,"zwolnienie kierowców",autonomous_operation,conflicts_with,workforce_efficiency,0.93,0.95,"Automatyzacja może prowadzić do redukcji zatrudnienia kierowców"
